ID,Album,Enlace,Imagen,Plataforma,Status,Mood,Type
48,The Cinematic Orchestra - Man With A Movie Camera,https://open.spotify.com/album/0nxt6d1DDf9gjXc1M0UTLQ,,,,,
50,Poolside - Contact High Mixtape (Official Audio),https://www.youtube.com/watch?v=fY1IXtyyRp0,,Youtube,,,
52,DJ Harvey - Live at Rumors,https://harvey.dj/album/dj-harvey-live-at-rumors,,,,,
57,Quantum Blackness,https://open.spotify.com/album/2uKITXprtT9Wm9EUHIvbL4?si=Sh01BLnHQf6-hHOeSpMPUA&nd=1,,,,,
53,The Original Recordings,https://open.spotify.com/album/1SPkZWTgBsxIrbtlEbvXLa?si=C97dUVPOQxemxsXskfWAjQ,,,,,
54,Telmo Trenor - Z8rtziko,https://hausofbeats.bandcamp.com/album/z8rtziko-hob006,,Bandcamp,,,
56,The Lost Septet (Live),https://open.spotify.com/album/4xVjXiiiUtba9SdhJvE3K4?si=50Zxn6L3QTeChKJVrK6Unw,,,,,
55,DJ Uve & DJ Tres - Off the pot - 2006,https://www.mixcloud.com/djUVE/dj-uve-dj-tress-off-the-pot-2006/,,,,,
62,Black Mahogani,https://open.spotify.com/album/224OuhZ1LThmaYGhD8ikq6?si=4tam6QFIRTSlPb1bARXR1w,,,,,
59,Between the Sheets,https://open.spotify.com/track/3ApIYu95WxjzpQCnsLBbrv?si=g7LH87SYSN2HQ5XAkv3TgA,,,,,
60,Poly-Ritmo | Boiler Room: Streaming From Isolation with Night Dreamer & Worldwide FM,https://www.youtube.com/watch?v=a95HRRTJJ1w,,Youtube,,,
61,On te l'avait dit,https://open.spotify.com/album/769hXvYI0EBGEC2ldfRgnp?si=p_dQl7uMQCe7DzG6vygvDw,,,,,
58,Late Night Tales: The Cinematic Orchestra,https://open.spotify.com/album/5IoORpSLb3o30qGDIdLIst,,,,,
65,The Rabbit That Hunts Tigers,https://open.spotify.com/album/4jH5VMBiLa3LqYASv9QQWK,,,,,
64,The Best of Toronto's Experimental Jazz Scene,https://daily.bandcamp.com/lists/toronto-jazz-list,,Bandcamp,,,
63,Lavoro e tempo libero,https://open.spotify.com/album/5VWALGguSmp9l3FN2BWcNP?si=PDkXDcGoRpqNlKreFUgV2A,,,,,
66,La Aventura De Las Plantas,https://open.spotify.com/album/3dHCUSWAeBelSFhJicbeXh?si=ik4Jat5gS22bKe7mosvXbg,,,,,
68,On Ne Dira Rien,https://open.spotify.com/album/7kLD5O5TTXhDqKkLrU5rfh?si=l8xWXVmZRMCDt2SDLmeZdA,,,,,
